Time,Passup
2022-11-08,1
2022-11-07,0
2022-11-06,0
2022-11-05,0
2022-11-04,0
2022-11-03,0
2022-11-02,0
2022-11-01,0
2022-10-31,0
2022-10-30,0
2022-10-29,0
2022-10-28,0
2022-10-27,0
2022-10-26,0
2022-10-25,0
2022-10-24,0
2022-10-23,0
2022-10-22,0
2022-10-21,0
2022-10-20,0
2022-10-19,0
2022-10-18,1
2022-10-17,0
2022-10-16,0
2022-10-15,0
2022-10-14,0
2022-10-13,0
2022-10-12,0
2022-10-11,0
2022-10-10,0
2022-10-09,0
2022-10-08,0
2022-10-07,0
2022-10-06,0
2022-10-05,1
2022-10-04,1
2022-10-03,0
2022-10-02,0
2022-10-01,0
2022-09-30,0
2022-09-29,0
2022-09-28,0
2022-09-27,0
2022-09-26,0
2022-09-25,0
2022-09-24,0
2022-09-23,0
2022-09-22,0
2022-09-21,0
2022-09-20,0
2022-09-19,0
2022-09-18,0
2022-09-17,0
2022-09-16,0
2022-09-15,1
